CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F215,
,,,,,Age : Age 16 and over - Qualifications gained [E][W] : No qualifications - Unit : Persons,
25695,E01006603,Liverpool 011B,Lower Super Output Areas and Data Zones,LSOADZ,503,
25696,E01006604,Liverpool 016A,Lower Super Output Areas and Data Zones,LSOADZ,418,
25697,E01006605,Liverpool 016B,Lower Super Output Areas and Data Zones,LSOADZ,530,
25698,E01006606,Liverpool 020A,Lower Super Output Areas and Data Zones,LSOADZ,436,
25699,E01006607,Liverpool 008A,Lower Super Output Areas and Data Zones,LSOADZ,533,
25700,E01006608,Liverpool 009A,Lower Super Output Areas and Data Zones,LSOADZ,340,
25701,E01006609,Liverpool 009B,Lower Super Output Areas and Data Zones,LSOADZ,357,
25702,E01006610,Liverpool 009C,Lower Super Output Areas and Data Zones,LSOADZ,459,
25703,E01006611,Liverpool 012A,Lower Super Output Areas and Data Zones,LSOADZ,441,
25704,E01006612,Liverpool 008B,Lower Super Output Areas and Data Zones,LSOADZ,536,
25705,E01006613,Liverpool 009D,Lower Super Output Areas and Data Zones,LSOADZ,506,
25706,E01006614,Liverpool 012B,Lower Super Output Areas and Data Zones,LSOADZ,415,
25707,E01006615,Liverpool 012C,Lower Super Output Areas and Data Zones,LSOADZ,424,
25708,E01006616,Liverpool 015D,Lower Super Output Areas and Data Zones,LSOADZ,463,
25709,E01006617,Liverpool 021A,Lower Super Output Areas and Data Zones,LSOADZ,280,
25710,E01006618,Liverpool 016C,Lower Super Output Areas and Data Zones,LSOADZ,528,
25711,E01006619,Liverpool 021B,Lower Super Output Areas and Data Zones,LSOADZ,341,
25712,E01006620,Liverpool 021C,Lower Super Output Areas and Data Zones,LSOADZ,338,
25713,E01006621,Liverpool 021D,Lower Super Output Areas and Data Zones,LSOADZ,247,
25714,E01006622,Liverpool 021E,Lower Super Output Areas and Data Zones,LSOADZ,237,
25715,E01006623,Liverpool 013A,Lower Super Output Areas and Data Zones,LSOADZ,295,
25716,E01006624,Liverpool 013B,Lower Super Output Areas and Data Zones,LSOADZ,422,
25717,E01006625,Liverpool 016D,Lower Super Output Areas and Data Zones,LSOADZ,328,
25718,E01006626,Liverpool 016E,Lower Super Output Areas and Data Zones,LSOADZ,317,
25719,E01006627,Liverpool 013C,Lower Super Output Areas and Data Zones,LSOADZ,315,
25720,E01006628,Liverpool 052D,Lower Super Output Areas and Data Zones,LSOADZ,246,
25721,E01006629,Liverpool 052E,Lower Super Output Areas and Data Zones,LSOADZ,294,
25722,E01006630,Liverpool 044B,Lower Super Output Areas and Data Zones,LSOADZ,483,
25723,E01006632,Liverpool 044C,Lower Super Output Areas and Data Zones,LSOADZ,592,
25724,E01006633,Liverpool 050B,Lower Super Output Areas and Data Zones,LSOADZ,592,
25725,E01006637,Liverpool 017A,Lower Super Output Areas and Data Zones,LSOADZ,419,
25726,E01006638,Liverpool 017B,Lower Super Output Areas and Data Zones,LSOADZ,411,
25727,E01006639,Liverpool 017C,Lower Super Output Areas and Data Zones,LSOADZ,328,
25728,E01006640,Liverpool 021F,Lower Super Output Areas and Data Zones,LSOADZ,367,
25729,E01006641,Liverpool 025C,Lower Super Output Areas and Data Zones,LSOADZ,288,
25730,E01006642,Liverpool 025D,Lower Super Output Areas and Data Zones,LSOADZ,468,
25731,E01006643,Liverpool 025E,Lower Super Output Areas and Data Zones,LSOADZ,484,
25732,E01006644,Liverpool 017D,Lower Super Output Areas and Data Zones,LSOADZ,575,
25733,E01006645,Liverpool 017E,Lower Super Output Areas and Data Zones,LSOADZ,554,
25734,E01006646,Liverpool 023C,Lower Super Output Areas and Data Zones,LSOADZ,600,
25735,E01006647,Liverpool 024C,Lower Super Output Areas and Data Zones,LSOADZ,569,
25736,E01006648,Liverpool 023D,Lower Super Output Areas and Data Zones,LSOADZ,659,
25737,E01006651,Liverpool 001A,Lower Super Output Areas and Data Zones,LSOADZ,187,
25738,E01006652,Liverpool 002A,Lower Super Output Areas and Data Zones,LSOADZ,321,
25739,E01006653,Liverpool 001B,Lower Super Output Areas and Data Zones,LSOADZ,438,
25740,E01006654,Liverpool 005A,Lower Super Output Areas and Data Zones,LSOADZ,401,
25741,E01006655,Liverpool 001C,Lower Super Output Areas and Data Zones,LSOADZ,456,
25742,E01006656,Liverpool 002B,Lower Super Output Areas and Data Zones,LSOADZ,304,
25743,E01006657,Liverpool 002C,Lower Super Output Areas and Data Zones,LSOADZ,297,
25744,E01006658,Liverpool 001D,Lower Super Output Areas and Data Zones,LSOADZ,463,
25745,E01006659,Liverpool 005B,Lower Super Output Areas and Data Zones,LSOADZ,570,
25746,E01006660,Liverpool 001E,Lower Super Output Areas and Data Zones,LSOADZ,440,
25747,E01006661,Liverpool 004A,Lower Super Output Areas and Data Zones,LSOADZ,644,
25748,E01006662,Liverpool 004B,Lower Super Output Areas and Data Zones,LSOADZ,658,
25749,E01006663,Liverpool 004C,Lower Super Output Areas and Data Zones,LSOADZ,311,
25750,E01006664,Liverpool 004D,Lower Super Output Areas and Data Zones,LSOADZ,576,
25751,E01006665,Liverpool 007A,Lower Super Output Areas and Data Zones,LSOADZ,256,
25752,E01006666,Liverpool 007B,Lower Super Output Areas and Data Zones,LSOADZ,167,
