CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F2384,
,,,,,Population (usual residents) : All usual residents - Unit : Persons,
25636,E01006539,Liverpool 047B,Lower Super Output Areas and Data Zones,LSOADZ,1437,
25637,E01006540,Liverpool 024A,Lower Super Output Areas and Data Zones,LSOADZ,1509,
25638,E01006541,Liverpool 015A,Lower Super Output Areas and Data Zones,LSOADZ,1593,
25639,E01006542,Liverpool 018A,Lower Super Output Areas and Data Zones,LSOADZ,1397,
25640,E01006543,Liverpool 015B,Lower Super Output Areas and Data Zones,LSOADZ,1247,
25641,E01006544,Liverpool 015C,Lower Super Output Areas and Data Zones,LSOADZ,1658,
25642,E01006545,Liverpool 019A,Lower Super Output Areas and Data Zones,LSOADZ,1512,
25643,E01006546,Liverpool 019B,Lower Super Output Areas and Data Zones,LSOADZ,1319,
25644,E01006547,Liverpool 019C,Lower Super Output Areas and Data Zones,LSOADZ,1490,
25645,E01006548,Liverpool 019D,Lower Super Output Areas and Data Zones,LSOADZ,1675,
25646,E01006549,Liverpool 043B,Lower Super Output Areas and Data Zones,LSOADZ,1662,
25647,E01006550,Liverpool 038A,Lower Super Output Areas and Data Zones,LSOADZ,1595,
25648,E01006551,Liverpool 048E,Lower Super Output Areas and Data Zones,LSOADZ,1581,
25649,E01006552,Liverpool 039A,Lower Super Output Areas and Data Zones,LSOADZ,2029,
25650,E01006553,Liverpool 042A,Lower Super Output Areas and Data Zones,LSOADZ,1880,
25651,E01006554,Liverpool 048F,Lower Super Output Areas and Data Zones,LSOADZ,1692,
25652,E01006556,Liverpool 039B,Lower Super Output Areas and Data Zones,LSOADZ,2011,
25653,E01006557,Liverpool 038B,Lower Super Output Areas and Data Zones,LSOADZ,2054,
25654,E01006558,Liverpool 018B,Lower Super Output Areas and Data Zones,LSOADZ,1357,
25655,E01006560,Liverpool 023A,Lower Super Output Areas and Data Zones,LSOADZ,1860,
25656,E01006562,Liverpool 018E,Lower Super Output Areas and Data Zones,LSOADZ,1514,
25657,E01006563,Liverpool 024B,Lower Super Output Areas and Data Zones,LSOADZ,1744,
25658,E01006564,Liverpool 023B,Lower Super Output Areas and Data Zones,LSOADZ,1721,
25659,E01006565,Liverpool 029A,Lower Super Output Areas and Data Zones,LSOADZ,1549,
25660,E01006566,Liverpool 032A,Lower Super Output Areas and Data Zones,LSOADZ,1506,
25661,E01006567,Liverpool 026A,Lower Super Output Areas and Data Zones,LSOADZ,1655,
25662,E01006568,Liverpool 026B,Lower Super Output Areas and Data Zones,LSOADZ,1617,
25663,E01006569,Liverpool 029B,Lower Super Output Areas and Data Zones,LSOADZ,1429,
